Event,Description,Date,Link,Source,Week Number
Keith Rosson & Sadie Hartmann at Powell’s City of Books,,08/16/2023,https://www.powells.com/book/fever-house-9780593595756/1-1,Powells,33
Slamlandia at Literary Arts,7:00pm - 9:00pm,08/17/2023,https://literary-arts.org/event/slamlandia-2/2023-08-17/,Literary Arts,33
Christopher Miller in Conversation With Debra Gwartney at Powell’s City of Books,7pm,08/17/2023,https://www.powells.com/book/war-came-to-us-9781399406857/1-1,Powells,33
Kids' Storytime With Deborah Hopkinson at Powell’s City of Books,10:30am,08/19/2023,https://www.powells.com/book/cinderella-a-mouse-called-fred-9780593480038/1-1,Powells,33
Ruth Madievsky in Conversation With Lydia Kiesling at Powell’s City of Books,7pm,08/21/2023,https://www.powells.com/book/all-night-pharmacy-a-novel-9781646221509/1-1,Powells,34
Get Writing: Unblocking Writer’s Block at Literary Arts (tuition required),6:00pm - 8:00pm,08/22/2023,https://literary-arts.org/event/get-writing-unblocking-writers-block/,Literary Arts,34
Anne Hillerman at Powell’s Books at Cedar Hills Crossing,7pm,08/23/2023,https://www.powells.com/book/way-of-the-bear-leaphorn-chee-and-manuelito-8-9780062908391/2-1,Powells,34
Reading: Pat Thomas and Josh Mills: Ernie in Kovacsland at Annie Bloom's Books,7:00pm - 8:00pm,08/24/2023,https://www.annieblooms.com/event/reading-pat-thomas-and-josh-mills-ernie-kovacsland,Annie Bloom's Books,34
Matthew Zapruder in Conversation With David Naimon at Powell’s City of Books,7pm,08/24/2023,https://www.powells.com/book/story-of-a-poem-9781951213688/1-2,Powells,34
Writing in the Child’s Voice at Literary Arts (tuition required),10:00am - 1:00pm,08/26/2023,https://literary-arts.org/event/writing-in-the-childs-voice/,Literary Arts,34
All Strings Songwriter Evening at Mother Foucault's Bookshop,7:30PM - 10:30PM,08/26/2023,https://www.motherfoucaultsbookshop.com/calendar-list/2tjzoe45a50qbke6d3ufvj9udbnqg3,Mother Foucault's Bookshop,34
Brian Box Brown in Conversation With Zack Soto at Powell’s City of Books,7pm,08/28/2023,https://www.powells.com/book/the-he-man-effect-9781250261403/1-1,Powells,35
Rian Dundon in Conversation With Carmen P. Thompson at Powell’s City of Books,7pm,08/29/2023,https://www.powells.com/book/protest-city-portlands-summer-of-rage-9780870712265/1-3,Powells,35
Jen Soriano in Conversation With Janice Lee at Powell’s City of Books,7pm,08/31/2023,https://www.powells.com/book/nervous-9780063230132/1-1,Powells,35
September OPP at Mother Foucault's Bookshop,7:00PM - 7:50PM,09/01/2023,https://www.motherfoucaultsbookshop.com/calendar-list/september-opp,Mother Foucault's Bookshop,35
Andrea Lankford at Powell’s City of Books,7pm,09/05/2023,https://www.powells.com/book/trail-of-the-lost-the-relentless-search-to-bring-home-the-missing-hikers-of-the-pacific-crest-trail-9780306831959/1-3,Powells,36
Chuck Palahniuk / TICKETED EVENT at Revolution Hall,7:30pm,09/05/2023,https://www.powells.com/book/not-forever-but-for-now-9781668021415,Powells,36
Six Month Memoir Intensive at Literary Arts (tuition required) (virtual),6:00pm - 8:00pm,09/06/2023,https://literary-arts.org/event/six-month-memoir-intensive/,Literary Arts,36
"An Evening With Ann Patchett, in conversation with Cheryl Strayed at Literary Arts",7:30pm - 9:00pm,09/07/2023,https://literary-arts.org/event/an-evening-with-ann-patchett/,Literary Arts,36
"Poetry Reading: Pattie Palmer-Baker, Sherri Levine, Victoria Wyttenberg at Annie Bloom's Books",7:00pm - 8:00pm,09/07/2023,https://www.annieblooms.com/event/poetry-reading-pattie-palmer-baker-sherri-levine-victoria-wyttenberg,Annie Bloom's Books,36
Tim Lane in Conversation With Lydia Kiesling at Powell’s Books at Cedar Hills Crossing,7pm,09/07/2023,https://www.powells.com/book/the-neighbors-we-want-9781639104734/2-1,Powells,36
1+1 show at Mother Foucault's Bookshop,7:00PM - 9:05PM,09/08/2023,https://www.motherfoucaultsbookshop.com/calendar-list/11-show-1,Mother Foucault's Bookshop,36
Garth Stein & Matthew Southworth in Conversation With Chelsea Cain at Powell’s City of Books,7pm,09/08/2023,https://www.powells.com/book/the-cloven-9781683967682/1-1,Powells,36
Craig Johnson at Powell’s Books at Cedar Hills Crossing,7pm,09/08/2023,https://www.powells.com/book/longmire-defense-a-longmire-mystery-9780593297315/2-1,Powells,36
Fragments and  Memoir at Literary Arts (tuition required) (virtual),10:00am - 1:00pm,09/09/2023,https://literary-arts.org/event/fragments-and-memoir/,Literary Arts,36
BINGE-WATCHABLE: WRITE A TV SERIES TREATMENT Weekend Intensive at Literary Arts (tuition required),10:00am - 2:00pm,09/10/2023,https://literary-arts.org/event/binge-watchable-write-a-tv-series-treatment-weekend-intensive/,Literary Arts,36
Alissa Hattman in Conversation With Leni Zumas at Powell’s City of Books,7pm,09/11/2023,https://www.powells.com/book/sift-9781737925835/1-1,Powells,37
The Self-Doubting Writer: Releasing Anxiety at Literary Arts (tuition required) (virtual),6:00pm - 7:00pm,09/12/2023,https://literary-arts.org/event/the-self-doubting-writer-releasing-anxiety/,Literary Arts,37
Poetry Reading: Paulann Petersen and Amy Baskin at Annie Bloom's Books,7:00pm - 8:00pm,09/12/2023,https://www.annieblooms.com/event/poetry-reading-paulann-petersen-and-amy-baskin,Annie Bloom's Books,37
Hilary Leichter & Alexandra Chang in Conversation With Katherine D. Morgan at Powell’s City of Books,7pm,09/12/2023,https://www.powells.com/book/terrace-story-9780063265813/1-4,Powells,37
Zadie Smith: The Fraud at Literary Arts (virtual),6:00pm - 8:00pm,09/13/2023,https://literary-arts.org/event/zadie-smith-the-fraud/,Literary Arts,37
Nine-Month Novel Intensive: Wednesday at Literary Arts (tuition required) (virtual),6:30pm - 8:30pm,09/13/2023,https://literary-arts.org/event/nine-month-novel-intensive-wednesday-2/,Literary Arts,37
Nine-Month Novel Intensive: Thursday at Literary Arts (tuition required) (virtual),6:30pm - 8:30pm,09/14/2023,https://literary-arts.org/event/nine-month-novel-intensive-thursday-3/,Literary Arts,37
Kids' Storytime With Katherine Pryor at Powell’s City of Books,10:30am,09/16/2023,https://www.powells.com/book/home-is-calling-9781546003137/1-1,Powells,37
Elizabeth Rush in Conversation With Erica Berry at Powell’s City of Books,7pm,09/18/2023,https://www.powells.com/book/the-quickening-9781571313966/1-1,Powells,38
When Memory is Fractured: Using Fragments to Craft Memoir at Literary Arts (tuition required) (virtual),6:00pm - 8:00pm,09/19/2023,https://literary-arts.org/event/when-memory-is-fractured-using-fragments-to-craft-memoir/,Literary Arts,38
